,actors,movies
2774,randeep hooda,Mere Khwabon Mein Jo Aaye
2775,raima sen,Mere Khwabon Mein Jo Aaye
2776,arbaaz khan,Mere Khwabon Mein Jo Aaye
2777,javed akhtar,Mere Khwabon Mein Jo Aaye
2778,naseeruddin shah,Raajneeti
2779,arjun rampal,Raajneeti
2780,nana patekar,Raajneeti
2781,ranbir kapoor,Raajneeti
2782,varun bhagwat,Allah Ke Banday
2783,vikram gokhale,Allah Ke Banday
2784,zakir hussain,Allah Ke Banday
2785,bharat jha,Allah Ke Banday
2786,abhay deol,Oye Lucky! Lucky Oye!
2787,paresh rawal,Oye Lucky! Lucky Oye!
2788,neetu chandra,Oye Lucky! Lucky Oye!
2789,archana puran singh,Oye Lucky! Lucky Oye!
2790,rajneesh duggal,1920
2791,adah sharma,1920
2792,anjori alagh,1920
2793,rajendranath zutshi,1920
2794,aftab shivdasani,Aloo Chaat
2795,aamna shariff,Aloo Chaat
2796,linda arsenio,Aloo Chaat
2797,sanjay mishra,Aloo Chaat
2798,alisha,Lamhaa: The Untold Story of Kashmir
2799,asif basra,Lamhaa: The Untold Story of Kashmir
2800,bipasha basu,Lamhaa: The Untold Story of Kashmir
2801,burhan,Lamhaa: The Untold Story of Kashmir
2802,sushant singh,Hulla
2803,kartika rane,Hulla
2804,rajat kapoor,Hulla
2805,mandeep mazumdar,Hulla
2806,rati agnihotri,Ru-Ba-Ru
2807,shahana goswami,Ru-Ba-Ru
2808,randeep hooda,Ru-Ba-Ru
2809,kulbhushan kharbanda,Ru-Ba-Ru
2810,sadashiv amrapurkar,Rafoo Chakkar: Fun on the Run
2811,tinnu anand,Rafoo Chakkar: Fun on the Run
2812,nauheed cyrusi,Rafoo Chakkar: Fun on the Run
2813,shakti kapoor,Rafoo Chakkar: Fun on the Run
2814,ranbir kapoor,Wake Up Sid
2815,konkona sen sharma,Wake Up Sid
2816,supriya pathak,Wake Up Sid
2817,anupam kher,Wake Up Sid
2818,arjun rampal,Fox
2819,sunny deol,Fox
2820,udita goswami,Fox
2821,sagarika ghatge,Fox
2822,brahim achabbakhe,Kal Kissne Dekha
2823,jacky bhagnani,Kal Kissne Dekha
2824,nushrat bharucha,Kal Kissne Dekha
2825,david bueno,Kal Kissne Dekha
2826,abhay deol,Dev D
2827,mahie gill,Dev D
2828,kalki koechlin,Dev D
2829,dibyendu bhattacharya,Dev D
2830,shabana azmi,Sorry Bhai!
2831,boman irani,Sorry Bhai!
2832,sanjay suri,Sorry Bhai!
2833,sharman joshi,Sorry Bhai!
2834,john abraham,New York
2835,neil nitin mukesh,New York
2836,katrina kaif,New York
2837,irrfan khan,New York
2838,naseeruddin shah,Maharathi
2839,om puri,Maharathi
2840,boman irani,Maharathi
2841,paresh rawal,Maharathi
2842,akshay kumar,Jumbo
2843,lara dutta,Jumbo
2844,dimple kapadia,Jumbo
2845,rajpal yadav,Jumbo
2846,rajit kapoor,Blue Oranges
2847,aham sharma,Blue Oranges
2848,pooja kanwal,Blue Oranges
2849,richashree,Blue Oranges
2850,abhishek bachchan,Raavan
2851,aishwarya rai bachchan,Raavan
2852,govinda,Raavan
2853,'chiyaan' vikram,Raavan
2854,ganesh acharya,Jalwa: Fun in Love
2855,neha bhatt,Jalwa: Fun in Love
2856,daisy,Jalwa: Fun in Love
2857,ali g.,Jalwa: Fun in Love
2858,kangana ranaut,Raaz: The Mystery Continues
2859,adhyayan suman,Raaz: The Mystery Continues
2860,emraan hashmi,Raaz: The Mystery Continues
2861,vicky ahuja,Raaz: The Mystery Continues
2862,govinda,Do Knot Disturb
2863,sushmita sen,Do Knot Disturb
2864,ritesh deshmukh,Do Knot Disturb
2865,lara dutta,Do Knot Disturb
2866,naseeruddin shah,Ishqiya
2867,vidya balan,Ishqiya
2868,arshad warsi,Ishqiya
2869,salman shahid,Ishqiya
2870,uday chopra,Pyaar Impossible!
2871,priyanka chopra,Pyaar Impossible!
2872,dino morea,Pyaar Impossible!
2873,rahul vohra,Pyaar Impossible!
2874,govinda,Naughty @ 40
2875,yuvika chaudhry,Naughty @ 40
2876,anupam kher,Naughty @ 40
2877,smita jaykar,Naughty @ 40
2878,sanjay dutt,Chatur Singh Two Star
2879,ameesha patel,Chatur Singh Two Star
2880,anupam kher,Chatur Singh Two Star
2881,satish kaushik,Chatur Singh Two Star
2882,dev anand,Chargesheet
2883,divya dutta,Chargesheet
2884,devshi khanduri,Chargesheet
2885,hansal mehta,Chargesheet
2886,rakesh bedi,Jai Veeru: Friends Forever
2887,mahek chahal,Jai Veeru: Friends Forever
2888,suraj godambe,Jai Veeru: Friends Forever
2889,dinesh hingoo,Jai Veeru: Friends Forever
2890,kunal khemu,99
2891,boman irani,99
2892,soha ali khan,99
2893,cyrus broacha,99
2894,jackie shroff,Kisaan
2895,sohail khan,Kisaan
2896,arbaaz khan,Kisaan
2897,nauheed cyrusi,Kisaan
2898,rajesh khanna,Wafaa
2899,shahib chopra,Wafaa
2900,laila khan,Wafaa
2901,ahad khan,Wafaa
2902,neil nitin mukesh,Aa Dekhen Zara
2903,bipasha basu,Aa Dekhen Zara
2904,biswajeet chatterjee,Aa Dekhen Zara
2905,sophiya chaudhary,Aa Dekhen Zara
2906,dino morea,Gumnaam: The Mystery
2907,mahima chaudhry,Gumnaam: The Mystery
2908,suman ranganathan,Gumnaam: The Mystery
2909,arun bali,Gumnaam: The Mystery
2910,farhan akhtar,Karthik Calling Karthik
2911,deepika padukone,Karthik Calling Karthik
2912,ram kapoor,Karthik Calling Karthik
2913,vivan bhatena,Karthik Calling Karthik
2914,anil kapoor,Race 2
2915,saif ali khan,Race 2
2916,john abraham,Race 2
2917,deepika padukone,Race 2
2918,madhavan,13B: Fear Has a New Address
2919,neetu chandra,13B: Fear Has a New Address
2920,poonam dhillon,13B: Fear Has a New Address
2921,sachin khedekar,13B: Fear Has a New Address
2922,aashish chaudhary,Three: Love Lies Betrayal
2923,akshay kapoor,Three: Love Lies Betrayal
2924,nausheen ali sardar,Three: Love Lies Betrayal
2925,achint kaur,Three: Love Lies Betrayal
2926,arunoday singh,Mirch
2927,boman irani,Mirch
2928,ila arun,Mirch
2929,konkona sen sharma,Mirch
2930,paresh rawal,Dhoondte Reh Jaoge
2931,kunal khemu,Dhoondte Reh Jaoge
2932,sonu sood,Dhoondte Reh Jaoge
2933,soha ali khan,Dhoondte Reh Jaoge
2934,rajat kapoor,Siddharth: The Prisoner
2935,sachin nayak,Siddharth: The Prisoner
2936,pradip sagar,Siddharth: The Prisoner
2937,pradeep kabra,Siddharth: The Prisoner
2938,shahid kapoor,Chance Pe Dance
2939,genelia d'souza,Chance Pe Dance
2940,mohnish bahl,Chance Pe Dance
2941,satish shah,Chance Pe Dance
2942,kareena kapoor,Agent Vinod
2943,saif ali khan,Agent Vinod
2944,adil hussain,Agent Vinod
2945,gulshan grover,Agent Vinod
2946,ajay devgn,Once Upon a Time in Mumbai
2947,randeep hooda,Once Upon a Time in Mumbai
2948,kangana ranaut,Once Upon a Time in Mumbai
2949,emraan hashmi,Once Upon a Time in Mumbai
2950,akshay kumar,Action Replayy
2951,aishwarya rai bachchan,Action Replayy
2952,om puri,Action Replayy
2953,kiron kher,Action Replayy
2954,vinay pathak,Straight
2955,gul panag,Straight
2956,anuj chaudhary,Straight
2957,siddharth makkar,Straight
2958,sunil shetty,Daddy Cool: Join the Fun
2959,aarti chhabria,Daddy Cool: Join the Fun
2960,aashish chaudhary,Daddy Cool: Join the Fun
2961,kim sharma,Daddy Cool: Join the Fun
2962,jahan bloch,Krantiveer: The Revolution
2963,samir aftab,Krantiveer: The Revolution
2964,aditya rajput,Krantiveer: The Revolution
2965,harsh rajput,Krantiveer: The Revolution
2966,nitin,Agyaat: The Unknown
2967,priyanka kothari,Agyaat: The Unknown
2968,rasika dugal,Agyaat: The Unknown
2969,gautam rode,Agyaat: The Unknown
2970,anita,Ek Se Bure Do
2971,snehal dabi,Ek Se Bure Do
2972,anita hassandani,Ek Se Bure Do
2973,jagdeep,Ek Se Bure Do
2974,rohit roy,Apartment: Rent at Your Own Risk
2975,tanushree dutta,Apartment: Rent at Your Own Risk
2976,neetu chandra,Apartment: Rent at Your Own Risk
2977,mushtaq khan,Apartment: Rent at Your Own Risk
2978,kareena kapoor,We Are Family
2979,kajol,We Are Family
2980,arjun rampal,We Are Family
2981,amrita prakash,We Are Family
2982,anil kapoor,No Problem
2983,sanjay dutt,No Problem
2984,kangana ranaut,No Problem
2985,sunil shetty,No Problem
2986,sonali kulkarni,Mohandas
2987,sharbani mukherji,Mohandas
2988,sushant singh,Mohandas
2989,nakul vaid,Mohandas
2990,prateik,Mumbai Diaries
2991,monica dogra,Mumbai Diaries
2992,kriti malhotra,Mumbai Diaries
2993,aamir khan,Mumbai Diaries
2994,sanjay dutt,All the Best: Fun Begins
2995,ajay devgn,All the Best: Fun Begins
2996,fardeen khan,All the Best: Fun Begins
2997,bipasha basu,All the Best: Fun Begins
2998,ranbir kapoor,Rocket Singh: Salesman of the Year
2999,prem chopra,Rocket Singh: Salesman of the Year
3000,gauhar khan,Rocket Singh: Salesman of the Year
3001,mukesh bhatt,Rocket Singh: Salesman of the Year
3002,hrithik roshan,Guzaarish
3003,aishwarya rai bachchan,Guzaarish
3004,shernaz patel,Guzaarish
3005,aditya roy kapoor,Guzaarish
3006,asrani,Chal Chala Chal
3007,asif basra,Chal Chala Chal
3008,govinda,Chal Chala Chal
3009,manoj joshi,Chal Chala Chal
3010,vinod khanna,Fast Forward
3011,akshay kapoor,Fast Forward
3012,rehan khan,Fast Forward
3013,bhavna pani,Fast Forward
3014,nana patekar,Tum Milo Toh Sahi
3015,dimple kapadia,Tum Milo Toh Sahi
3016,sunil shetty,Tum Milo Toh Sahi
3017,vidya malvade,Tum Milo Toh Sahi
3018,mithun chakraborty,Don Muthu Swami
3019,ali asghar,Don Muthu Swami
3020,arun bakshi,Don Muthu Swami
3021,rakesh bedi,Don Muthu Swami
3022,omkar das manikpuri,Peepli (Live)
3023,raghuvir yadav,Peepli (Live)
3024,shalini vatsa,Peepli (Live)
3025,farrukh jaffar,Peepli (Live)
3026,amitabh bachchan,Rann
3027,ritesh deshmukh,Rann
3028,gul panag,Rann
3029,paresh rawal,Rann
3030,rana jung bahadur,Ek: The Power of One
3031,jaspal bhatti,Ek: The Power of One
3032,preeti bhutani,Ek: The Power of One
3033,bobby deol,Ek: The Power of One
3034,sohail khan,Team: The Force
3035,amrita arora,Team: The Force
3036,yash tonk,Team: The Force
3037,vrajesh hirjee,Team: The Force
3038,akshay kumar,Khatta Meetha
3039,rajpal yadav,Khatta Meetha
3040,aruna irani,Khatta Meetha
3041,kulbhushan kharbanda,Khatta Meetha
3042,vivek oberoi,Prince
3043,isaiah,Prince
3044,aruna shields,Prince
3045,nandana sen,Prince
3046,jackie shroff,Anubhav: An Actor's Tale
3047,sanjay suri,Anubhav: An Actor's Tale
3048,gul panag,Anubhav: An Actor's Tale
3049,shruti seth,Anubhav: An Actor's Tale
3050,anay,Happy Husbands
3051,kurush deboo,Happy Husbands
3052,mohit ghai,Happy Husbands
3053,ahwaan,Happy Husbands
3054,arshad warsi,Hum Tum Aur Ghost
3055,dia mirza,Hum Tum Aur Ghost
3056,boman irani,Hum Tum Aur Ghost
3057,sandhya mridul,Hum Tum Aur Ghost
3058,paresh rawal,Road to Sangam
3059,om puri,Road to Sangam
3060,pavan malhotra,Road to Sangam
3061,javed sheikh,Road to Sangam
3062,randeep hooda,Love Khichdi
3063,rituparna sengupta,Love Khichdi
3064,sada,Love Khichdi
3065,divya dutta,Love Khichdi
3066,shreyas talpade,Aagey Se Right
3067,bharati achrekar,Aagey Se Right
3068,shaukat baig,Aagey Se Right
3069,rakesh bedi,Aagey Se Right
3070,meghan jadhav,Zor Lagaa Ke... Haiya!
3071,mithun chakraborty,Zor Lagaa Ke... Haiya!
3072,riya sen,Zor Lagaa Ke... Haiya!
3073,seema biswas,Zor Lagaa Ke... Haiya!
3074,ruslaan mumtaz,Teree Sang: A Kidult Love Story
3075,sheena shahabadi,Teree Sang: A Kidult Love Story
3076,rajat kapoor,Teree Sang: A Kidult Love Story
3077,neena gupta,Teree Sang: A Kidult Love Story
3078,priyanka chopra,Anjaana Anjaani
3079,carl marino,Anjaana Anjaani
3080,ranbir kapoor,Anjaana Anjaani
3081,aubrey k. miller,Anjaana Anjaani
3082,nargis bagheri,Morning Walk
3083,divya dutta,Morning Walk
3084,avika gor,Morning Walk
3085,rajit kapoor,Morning Walk
3086,himesh reshammiya,Damadamm!
3087,sonal sehgal,Damadamm!
3088,purbi joshi,Damadamm!
3089,rajesh khattar,Damadamm!
3090,joseph armillas,I Am Singh
3091,anto boghokian,I Am Singh
3092,elissa brentano,I Am Singh
3093,gerald brodin,I Am Singh
3094,sudhanshu pandey,Dhara
3095,hrishitaa bhatt,Dhara
3096,anuj punj,Dhara
3097,suman agarwal,Dhara
3098,mithun chakraborty,Baabarr
3099,om puri,Baabarr
3100,sohum shah,Baabarr
3101,urvashi sharma,Baabarr
3102,sonam kapoor,Aisha
3103,abhay deol,Aisha
3104,amrita puri,Aisha
3105,cyrus sahukar,Aisha
3106,prateik,My Friend Pinto
3107,kalki koechlin,My Friend Pinto
3108,arjun mathur,My Friend Pinto
3109,shruti seth,My Friend Pinto
3110,bobby deol,Vaada Raha... I Promise
3111,dwij yadav,Vaada Raha... I Promise
3112,kangana ranaut,Vaada Raha... I Promise
3113,mohnish bahl,Vaada Raha... I Promise
3114,mantra,Tum Mile
3115,prerna chawla,Tum Mile
3116,emraan hashmi,Tum Mile
3117,j. brandon hill,Tum Mile
3118,amitabh bachchan,Paa
3119,abhishek bachchan,Paa
3120,vidya balan,Paa
3121,paresh rawal,Paa
3122,rishi kapoor,Patiala House
3123,dimple kapadia,Patiala House
3124,akshay kumar,Patiala House
3125,anushka sharma,Patiala House
3126,aftab shivdasani,Aao Wish Karein
3127,aamna shariff,Aao Wish Karein
3128,rati agnihotri,Aao Wish Karein
3129,tiku talsania,Aao Wish Karein
3130,sanjay dutt,Knock Out
3131,irrfan khan,Knock Out
3132,kangana ranaut,Knock Out
3133,gulshan grover,Knock Out
3134,gayatri patel bahl,Let's Dance
3135,aqib afzaal,Let's Dance
3136,ajay chaudhary,Let's Dance
3137,aabhas yadav,Let's Dance
3138,mithun chakraborty,Golmaal 3
3139,ajay devgn,Golmaal 3
3140,kareena kapoor,Golmaal 3
3141,tusshar kapoor,Golmaal 3
3142,arjun rampal,Ra.One
3143,shah rukh khan,Ra.One
3144,kareena kapoor,Ra.One
3145,shahana goswami,Ra.One
3146,katrina kaif,Zindagi Na Milegi Dobara
3147,hrithik roshan,Zindagi Na Milegi Dobara
3148,naseeruddin shah,Zindagi Na Milegi Dobara
3149,farhan akhtar,Zindagi Na Milegi Dobara
3150,bobby bahal,"U, Bomsi n Me"
3151,kenny desai,"U, Bomsi n Me"
3152,vivek madan,"U, Bomsi n Me"
3153,vidya malvade,"U, Bomsi n Me"
3154,farooq shaikh,Accident on Hill Road
3155,celina jaitly,Accident on Hill Road
3156,abhimanyu singh,Accident on Hill Road
3157,rukhsar,Accident on Hill Road
3158,katrina kaif,Tees Maar Khan
3159,salman khan,Tees Maar Khan
3160,akshay kumar,Tees Maar Khan
3161,farah khan,Tees Maar Khan
3162,akshay kumar,Housefull
3163,arjun rampal,Housefull
3164,deepika padukone,Housefull
3165,lara dutta,Housefull
3166,siddharth,Striker
3167,ankur vikal,Striker
3168,anupam kher,Striker
3169,vidya malvade,Striker
3170,ajay devgn,Atithi Tum Kab Jaoge?
3171,konkona sen sharma,Atithi Tum Kab Jaoge?
3172,paresh rawal,Atithi Tum Kab Jaoge?
3173,satish kaushik,Atithi Tum Kab Jaoge?
3174,deepika padukone,Break Ke Baad
3175,imran khan,Break Ke Baad
3176,lillete dubey,Break Ke Baad
3177,shahana goswami,Break Ke Baad
3178,ravi kapoor,World Cupp 2011
3179,master sagar punjabi,World Cupp 2011
3180,suresh oberoi,World Cupp 2011
3181,prem chopra,World Cupp 2011
3182,anuj saxena,Chase
3183,udita goswami,Chase
3184,tarina patel,Chase
3185,sameer kochhar,Chase
3186,tinnu anand,Shola: Fire of Love
3187,rajeev awasthi,Shola: Fire of Love
3188,mohnish bahl,Shola: Fire of Love
3189,beena banerjee,Shola: Fire of Love
3190,shreyas talpade,Click
3191,sada,Click
3192,sneha ullal,Click
3193,rehan khan,Click
3194,aditya narayan,Shaapit: The Cursed
3195,shweta agarwal,Shaapit: The Cursed
3196,shubh joshi,Shaapit: The Cursed
3197,natasha sinha,Shaapit: The Cursed
3198,shahid kapoor,Badmaa$h Company
3199,anushka sharma,Badmaa$h Company
3200,meiyang chang,Badmaa$h Company
3201,vir das,Badmaa$h Company
3202,shahana goswami,Jashnn: The Music Within
3203,natasha jain,Jashnn: The Music Within
3204,atul kinagi,Jashnn: The Music Within
3205,keshav nadkarni,Jashnn: The Music Within
3206,tabu,Toh Baat Pakki!
3207,sharman joshi,Toh Baat Pakki!
3208,yuvika chaudhry,Toh Baat Pakki!
3209,vatsal seth,Toh Baat Pakki!
3210,anupam kher,Zokkomon
3211,manjari phadnis,Zokkomon
3212,tinnu anand,Zokkomon
3213,sheeba chaddha,Zokkomon
3214,paul sidhu,Aakhari Decision
3215,sumona chakravarti,Aakhari Decision
3216,anant jog,Aakhari Decision
3217,nagesh bhonsle,Aakhari Decision
3218,neil nitin mukesh,Lafangey Parindey
3219,deepika padukone,Lafangey Parindey
3220,vijay adhav,Lafangey Parindey
3221,manish chaudhary,Lafangey Parindey
3222,arun govil,Lava Kusa: The Warrior Twins
3223,robert lang,Lava Kusa: The Warrior Twins
3224,vindu dara singh,Lava Kusa: The Warrior Twins
3225,gary tantony,Lava Kusa: The Warrior Twins
3226,mukesh bhatt,Muskurake Dekh Zara
3227,rajshree choudhary,Muskurake Dekh Zara
3228,arijit sen gupta,Muskurake Dekh Zara
3229,om katare,Muskurake Dekh Zara
3230,hazel croney,Mittal v/s Mittal
3231,gulshan grover,Mittal v/s Mittal
3232,iravati harshe,Mittal v/s Mittal
3233,suchitra krishnamoorthi,Mittal v/s Mittal
3234,sachin khedekar,City of Gold - Mumbai 1982: Ek Ankahee Kahani
3235,seema biswas,City of Gold - Mumbai 1982: Ek Ankahee Kahani
3236,ankush choudhary,City of Gold - Mumbai 1982: Ek Ankahee Kahani
3237,satish kaushik,City of Gold - Mumbai 1982: Ek Ankahee Kahani
3238,nushrat bharucha,"LSD: Love, Sex Aur Dhokha"
3239,anshuman jha,"LSD: Love, Sex Aur Dhokha"
3240,neha chauhan,"LSD: Love, Sex Aur Dhokha"
3241,rajkummar rao,"LSD: Love, Sex Aur Dhokha"
3242,arbaaz khan,Prem Kaa Game
3243,madhuri bhattacharya,Prem Kaa Game
3244,tara sharma,Prem Kaa Game
3245,johnny lever,Prem Kaa Game
3246,ranveer singh,Wedding Planners
3247,anushka sharma,Wedding Planners
3248,manu rishi chadha,Wedding Planners
3249,manish chaudhary,Wedding Planners
3250,tanushree dutta,Rokkk
3251,udita goswami,Rokkk
3252,shaad randhawa,Rokkk
3253,sachin khedekar,Rokkk
3254,vikram aditya,Sanam Hum Aapke Hain...
3255,narendra bedi,Sanam Hum Aapke Hain...
3256,chandan,Sanam Hum Aapke Hain...
3257,aradhana deshpande,Sanam Hum Aapke Hain...
3258,sudeep,Phoonk 2
3259,amruta khanvilkar,Phoonk 2
3260,ahsaas channa,Phoonk 2
3261,anu ansari,Phoonk 2
3262,sushant singh,Idiot Box
3263,hrishitaa bhatt,Idiot Box
3264,milind gunaji,Idiot Box
3265,upasna singh,Idiot Box
3266,abhishek bachchan,Dum Maaro Dum
3267,bipasha basu,Dum Maaro Dum
3268,rana daggubati,Dum Maaro Dum
3269,prateik,Dum Maaro Dum
3270,rahul bose,The Japanese Wife
3271,chigusa takaku,The Japanese Wife
3272,raima sen,The Japanese Wife
3273,moushumi chatterjee,The Japanese Wife
3274,madhu acharya,Bhavnao Ko Samjho
3275,nitin anand,Bhavnao Ko Samjho
3276,dinesh bawara,Bhavnao Ko Samjho
3277,narendra bedi,Bhavnao Ko Samjho
3278,salman khan,Dabangg
3279,sonakshi sinha,Dabangg
3280,vinod khanna,Dabangg
3281,dimple kapadia,Dabangg
3282,om puri,Na Ghar Ke Na Ghaat Ke
3283,paresh rawal,Na Ghar Ke Na Ghaat Ke
3284,neena gupta,Na Ghar Ke Na Ghaat Ke
3285,ravi kishan,Na Ghar Ke Na Ghaat Ke
3286,kitu gidwani,Hello Zindagi
3287,milind gunaji,Hello Zindagi
3288,neena gupta,Hello Zindagi
3289,mrunmayee lagoo,Hello Zindagi
3290,shahid kapoor,Mausam
3291,sonam kapoor,Mausam
3292,anupam kher,Mausam
3293,supriya pathak,Mausam
3294,atul kulkarni,Bumm Bumm Bole
3295,rituparna sengupta,Bumm Bumm Bole
3296,darsheel safary,Bumm Bumm Bole
3297,ziyah vastani,Bumm Bumm Bole
3298,bhushan agarwal,Ek Second... Jo Zindagi Badal De...
3299,nikita anand,Ek Second... Jo Zindagi Badal De...
3300,venita anand,Ek Second... Jo Zindagi Badal De...
3301,bedi,Ek Second... Jo Zindagi Badal De...
3302,priyanka chopra,7 Khoon Maaf
3303,vivaan shah,7 Khoon Maaf
3304,manuj bhaskar,7 Khoon Maaf
3305,sanjay verma,7 Khoon Maaf
3306,ali zafar,Tere Bin Laden
3307,pradhuman singh,Tere Bin Laden
3308,piyush mishra,Tere Bin Laden
3309,nikhil ratnaparkhi,Tere Bin Laden
3310,vikrum kumar,Trump Card
3311,haidar ali,Trump Card
3312,urvashi chaudhary,Trump Card
3313,mansi dovhal,Trump Card
3314,anupam kher,Sahi Dhandhe Galat Bande
3315,sharat saxena,Sahi Dhandhe Galat Bande
3316,parvin dabas,Sahi Dhandhe Galat Bande
3317,vansh bhardwaj,Sahi Dhandhe Galat Bande
3318,gurpreet chadha,Kya Yahi Sach Hai
3319,shalini chandran,Kya Yahi Sach Hai
3320,t.k. chowdhary,Kya Yahi Sach Hai
3321,kishore dhingra,Kya Yahi Sach Hai
3322,barkha madan,Soch Lo
3323,iris maity,Soch Lo
3324,nishan nanaiah,Soch Lo
3325,sartaj singh pannu,Soch Lo
3326,himesh reshammiya,Kajraare
3327,sara loren,Kajraare
3328,amrita singh,Kajraare
3329,gulshan grover,Kajraare
3330,jackie shroff,Musaa: The Most Wanted
3331,samir aftab,Musaa: The Most Wanted
3332,akhilendra mishra,Musaa: The Most Wanted
3333,sushant singh,Musaa: The Most Wanted
3334,rikkee,Swaha: Life Beyond Superstition
3335,manoylo svitlana,Swaha: Life Beyond Superstition
3336,ishrat ali,Swaha: Life Beyond Superstition
3337,jiten mukhi,Swaha: Life Beyond Superstition
3338,abhishek bachchan,Khelein Hum Jee Jaan Sey
3339,deepika padukone,Khelein Hum Jee Jaan Sey
3340,sikander kher,Khelein Hum Jee Jaan Sey
3341,maninder singh,Khelein Hum Jee Jaan Sey
3342,rajat barmecha,Udaan
3343,sanjay gandhi,Udaan
3344,ronit roy,Udaan
3345,manjot singh,Udaan
3346,deepti naval,Trapped in Tradition: Rivaaz
3347,vijay raaz,Trapped in Tradition: Rivaaz
3348,meghna naidu,Trapped in Tradition: Rivaaz
3349,saadhika randhawa,Trapped in Tradition: Rivaaz
3350,prashant narayanan,Mr. Singh/Mrs. Mehta
3351,aruna shields,Mr. Singh/Mrs. Mehta
3352,naved aslam,Mr. Singh/Mrs. Mehta
3353,lucy hassan,Mr. Singh/Mrs. Mehta
3354,ranvir shorey,The Film Emotional Atyachar
3355,vinay pathak,The Film Emotional Atyachar
3356,ravi kishan,The Film Emotional Atyachar
3357,mohit ahlawat,The Film Emotional Atyachar
3358,bobby deol,Help
3359,mugdha godse,Help
3360,shreyas talpade,Help
3361,sophie handa,Help
3362,gul panag,Turning 30!!!
3363,purab kohli,Turning 30!!!
3364,sid makkar,Turning 30!!!
3365,jeneva talwar,Turning 30!!!
3366,ritesh deshmukh,F.A.L.T.U
3367,jacky bhagnani,F.A.L.T.U
3368,puja gupta,F.A.L.T.U
3369,chandan roy sanyal,F.A.L.T.U
3370,caterina lopez,Bhindi Baazaar
3371,pavan malhotra,Bhindi Baazaar
3372,kay kay menon,Bhindi Baazaar
3373,piyush mishra,Bhindi Baazaar
3374,imran khan,I Hate Luv Storys
3375,sonam kapoor,I Hate Luv Storys
3376,sammir dattani,I Hate Luv Storys
3377,samir soni,I Hate Luv Storys
3378,deepak dobriyal,Daayen Ya Baayen
3379,manav kaul,Daayen Ya Baayen
3380,badrul islam,Daayen Ya Baayen
3381,bharti bhatt,Daayen Ya Baayen
3382,rajpal yadav,Hello Hum Lallann Bol Rahe Hain
3383,preeti mehra,Hello Hum Lallann Bol Rahe Hain
3384,makarand anaspure,Hello Hum Lallann Bol Rahe Hain
3385,ketki dave,Hello Hum Lallann Bol Rahe Hain
3386,rajpal yadav,Kushti
3387,nargis bagheri,Kushti
3388,om puri,Kushti
3389,sharat saxena,Kushti
3390,sonali gulati,I Am
3391,madhavan,Tanu Weds Manu
3392,kangana ranaut,Tanu Weds Manu
3393,jimmy shergill,Tanu Weds Manu
3394,deepak dobriyal,Tanu Weds Manu
3395,vinay pathak,Tere Mere Phere
3396,riya sen,Tere Mere Phere
3397,jagrat desai,Tere Mere Phere
3398,sasha goradia,Tere Mere Phere
3399,kareena kapoor,Ek Main Aur Ekk Tu
3400,boman irani,Ek Main Aur Ekk Tu
3401,imran khan,Ek Main Aur Ekk Tu
3402,ratna pathak,Ek Main Aur Ekk Tu
3403,anil kapoor,Tezz
3404,ajay devgn,Tezz
3405,mohanlal,Tezz
3406,kangana ranaut,Tezz
3407,ajay devgn,Aakrosh
3408,akshaye khanna,Aakrosh
3409,bipasha basu,Aakrosh
3410,jaideep ahlawat,Aakrosh
3411,salman khan,Ready
3412,asin,Ready
3413,paresh rawal,Ready
3414,mahesh manjrekar,Ready
3415,rishi kapoor,Do Dooni Chaar
3416,neetu singh,Do Dooni Chaar
3417,aditi vasudev,Do Dooni Chaar
3418,archit krishna,Do Dooni Chaar
3419,akshay kumar,Thank You
3420,bobby deol,Thank You
3421,sonam kapoor,Thank You
3422,sunil shetty,Thank You
3423,ajay devgn,Dil Toh Baccha Hai Ji
3424,emraan hashmi,Dil Toh Baccha Hai Ji
3425,omi vaidya,Dil Toh Baccha Hai Ji
3426,shazahn padamsee,Dil Toh Baccha Hai Ji
3427,ajay devgn,Bol Bachchan
3428,asin,Bol Bachchan
3429,abhishek bachchan,Bol Bachchan
3430,prachi desai,Bol Bachchan
3431,salman khan,Bodyguard
3432,kareena kapoor,Bodyguard
3433,raj babbar,Bodyguard
3434,asrani,Bodyguard
3435,rani mukerji,No One Killed Jessica
3436,vidya balan,No One Killed Jessica
3437,myra karn,No One Killed Jessica
3438,neil bhoopalam,No One Killed Jessica
3439,supriya pathak,Khichdi: The Movie
3440,anang desai,Khichdi: The Movie
3441,rajeev mehta,Khichdi: The Movie
3442,nimisha vakharia,Khichdi: The Movie
3443,gulshan grover,Payback
3444,munish khan,Payback
3445,zakir hussain,Payback
3446,mukesh tiwari,Payback
3447,ravi kishan,Chitkabrey
3448,rahul singh,Chitkabrey
3449,rajesh shringarpore,Chitkabrey
3450,sanjay swaraj,Chitkabrey
3451,kay kay menon,Benny and Babloo
3452,rajpal yadav,Benny and Babloo
3453,aashif sheikh,Benny and Babloo
3454,shweta tiwari,Benny and Babloo
3455,manoj bajpayee,Dus Tola
3456,aarti chhabria,Dus Tola
3457,dilip prabhavalkar,Dus Tola
3458,govind namdeo,Dus Tola
3459,imran khan,Mere Brother Ki Dulhan
3460,katrina kaif,Mere Brother Ki Dulhan
3461,ali zafar,Mere Brother Ki Dulhan
3462,tara d'souza,Mere Brother Ki Dulhan
